title,publisher,legacy_ids,candidate_entities,verdict,reason,issn_ls
"international journal of sustainable energy","taylor & francis","j-disc-issn-1478-6451;j-disc-issn-0142-5919","CAND-003503;CAND-022932",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0142-5919)","CAND-003503:0142-5919|CAND-022932:0142-5919"
"chinese journal of population resources and environment","elsevier bv","j-disc-issn-2096-9589;j-disc-issn-1004-2857","CAND-003674;CAND-022895",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1004-2857)","CAND-003674:1004-2857|CAND-022895:1004-2857"
"ge portuguese journal of gastroenterology","karger publishers","j-disc-issn-2341-4545;j-disc-issn-0872-8178","CAND-003684;CAND-022954",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0872-8178)","CAND-003684:0872-8178|CAND-022954:0872-8178"
"farmacéuticos comunitarios","sefac","j-disc-issn-2173-9218;j-disc-issn-1885-8619","CAND-003701;CAND-020780",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1885-8619)","CAND-003701:1885-8619|CAND-020780:1885-8619"
"journal of electromagnetic engineering and science","the korean institute of electromagnetic engineering and science","j-disc-issn-2234-8395;j-disc-issn-2671-7255","CAND-004264;CAND-007524",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2234-8395)","CAND-004264:2234-8395|CAND-007524:2234-8395"
"journal of pathology and translational medicine","korean society of pathologists & the korean society for cytopathology","j-disc-issn-2383-7837;j-disc-issn-1738-1843","CAND-004391;CAND-022934",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1738-1843)","CAND-004391:1738-1843|CAND-022934:1738-1843"
"inflammation and regeneration","biomed central","j-disc-issn-1880-8190;j-disc-issn-1346-8022","CAND-004460;CAND-022961",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1346-8022)","CAND-004460:1346-8022|CAND-022961:1346-8022"
"saúde (santa maria)","universidade federal de santa maria","j-disc-issn-2236-5834;j-disc-issn-0103-4499","CAND-004511;CAND-021051",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0103-4499)","CAND-004511:0103-4499|CAND-021051:0103-4499"
"neobiota","pensoft publishers","j-disc-issn-1314-2488;j-disc-issn-1619-0033","CAND-004546;CAND-021054",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1314-2488)","CAND-004546:1314-2488|CAND-021054:1314-2488"
"education in the knowledge society (eks)","ediciones universidad de salamanca","j-disc-issn-2444-8729;j-disc-issn-1138-9737","CAND-004593;CAND-020907",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1138-9737)","CAND-004593:1138-9737|CAND-020907:1138-9737"
"clinical diabetology","via medica","j-disc-issn-2450-7458;j-disc-issn-2299-2529","CAND-004646;CAND-022978",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2299-2529)","CAND-004646:2299-2529|CAND-022978:2299-2529"
"biogeographia – the journal of integrative biogeography","escholarship publishing, university of california","j-disc-issn-1594-7629;j-disc-issn-2475-5257","CAND-004735;CAND-016225",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1594-7629)","CAND-004735:1594-7629|CAND-016225:1594-7629"
"educación física y deporte","universidad de antioquia","j-disc-issn-2145-5880;j-disc-issn-0120-677X","CAND-004858;CAND-020578",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0120-677X)","CAND-004858:0120-677X|CAND-020578:0120-677X"
"cahiers de narratologie","laboratoire interdisciplinaire récits cultures et sociétés","j-disc-issn-1765-307X;j-disc-issn-0993-8516","CAND-005084;CAND-020942",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1765-307X)","CAND-005084:1765-307X|CAND-020942:1765-307X"
"annals of child neurology","annals of child neurology","j-disc-issn-2635-909X;j-disc-issn-1226-6884","CAND-005273;CAND-022972",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1226-6884)","CAND-005273:1226-6884|CAND-022972:1226-6884"
"ankara medical journal","yıldırım beyazıt university","j-disc-issn-2148-4570;j-disc-issn-1303-2283","CAND-005338;CAND-020982",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1303-2283)","CAND-005338:1303-2283|CAND-020982:1303-2283"
"philippine journal of otolaryngology head and neck surgery","philippine society of otolaryngology-head and neck surgery, inc.","j-disc-issn-2094-1501;j-disc-issn-1908-4889","CAND-005441;CAND-019221",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1908-4889)","CAND-005441:1908-4889|CAND-019221:1908-4889"
"journal of applied biomaterials & functional materials","sage publishing","j-disc-issn-2280-8000;j-disc-issn-1722-6899","CAND-005838;CAND-022987",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1722-6899)","CAND-005838:1722-6899|CAND-022987:1722-6899"
"mimbar hukum - fakultas hukum universitas gadjah mada","gadjah mada university","j-disc-issn-2443-0994;j-disc-issn-0852-100X","CAND-005995;CAND-020920",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2443-0994)","CAND-005995:2443-0994|CAND-020920:2443-0994"
"ecosystem health and sustainability","taylor & francis","j-disc-issn-2332-8878;j-disc-issn-2096-4129","CAND-006038;CAND-021029",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2096-4129)","CAND-006038:2096-4129|CAND-021029:2096-4129"
"physical education of students","h.s. skovoroda kharkov national pedagogical university","j-disc-issn-2308-7250;j-disc-issn-2075-5279","CAND-006067;CAND-022991",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2075-5279)","CAND-006067:2075-5279|CAND-022991:2075-5279"
"journal of physical education","universidade estadual de maringá","j-disc-issn-2448-2455;j-disc-issn-0103-3948","CAND-006218;CAND-006969",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0103-3948)","CAND-006218:0103-3948|CAND-006969:0103-3948"
"psychological-educational studies","moscow state university of psychology and education","j-disc-issn-2587-6139;j-disc-issn-2074-5885","CAND-006285;CAND-021157",confirmed_distinct,"candidate entities resolve to different OpenAlex issn_l values (2587-6139, 2074-5885)","CAND-006285:2587-6139|CAND-021157:2074-5885"
"revista ciencias de la salud","universidad colegio mayor nuestra señora del rosario","j-disc-issn-2145-4507;j-disc-issn-1692-7273","CAND-006295;CAND-020940",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1692-7273)","CAND-006295:1692-7273|CAND-020940:1692-7273"
"eurasian journal of emergency medicine","galenos yayinevi","j-disc-issn-2149-5807;j-disc-issn-1305-760X","CAND-006384;CAND-022969",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1305-760X)","CAND-006384:1305-760X|CAND-022969:1305-760X"
"humanis","udayana university","j-disc-issn-2302-920X;j-disc-issn-2528-5076","CAND-006386;CAND-021118",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2302-920X)","CAND-006386:2302-920X|CAND-021118:2302-920X"
"litera","state university of yogyakarta","j-disc-issn-2460-8319;j-disc-issn-1412-2596","CAND-006401;CAND-021083",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1412-2596)","CAND-006401:1412-2596|CAND-021083:1412-2596"
"i̇stanbul medical journal","galenos yayinevi","j-disc-issn-2148-094X;j-disc-issn-2619-9793","CAND-006870;CAND-021126",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1304-8503)","CAND-006870:1304-8503|CAND-021126:1304-8503"
"journal of architecture and urbanism","vilnius gediminas technical university","j-disc-issn-2029-7947;j-disc-issn-1392-1630","CAND-007044;CAND-023017",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1392-1630)","CAND-007044:1392-1630|CAND-023017:1392-1630"
"fossil record","wiley","j-disc-issn-2193-0066;j-disc-issn-1860-1014","CAND-007363;CAND-022984",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1860-1014)","CAND-007363:1860-1014|CAND-022984:1860-1014"
"galician medical journal","ivano-frankivsk national medical university","j-disc-issn-2414-1518;j-disc-issn-2306-4285","CAND-007510;CAND-020958",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2306-4285)","CAND-007510:2306-4285|CAND-020958:2306-4285"
"espiral estudios sobre estado y sociedad","university of guadalajara","j-disc-issn-2594-021X;j-disc-issn-1665-0565","CAND-007658;CAND-020906",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2594-021X)","CAND-007658:2594-021X|CAND-020906:2594-021X"
"abei journal","university of são paulo","j-disc-issn-2595-8127;j-disc-issn-1518-0581","CAND-007701;CAND-021077",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2595-8127)","CAND-007701:2595-8127|CAND-021077:2595-8127"
"jupiis jurnal pendidikan ilmu-ilmu sosial","state university of medan","j-disc-issn-2407-7429;j-disc-issn-2085-482X","CAND-007912;CAND-021025",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2085-482X)","CAND-007912:2085-482X|CAND-021025:2085-482X"
"jurnal teknik industri","petra christian university","j-disc-issn-1978-1431;j-disc-issn-1411-2485","CAND-007989;CAND-008668",confirmed_distinct,"candidate entities resolve to different OpenAlex issn_l values (1978-1431, 1411-2485)","CAND-007989:1978-1431|CAND-008668:1411-2485"
"kembara journal of scientific language literature and teaching","muhammadiyah university of malang","j-disc-issn-2442-9287;j-disc-issn-2442-7632","CAND-008008;CAND-021005",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2442-9287)","CAND-008008:2442-9287|CAND-021005:2442-9287"
"revista filosófica de coimbra","coimbra university press","j-disc-issn-0872-0851;j-disc-issn-2184-7584","CAND-008101;CAND-013800",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0872-0851)","CAND-008101:0872-0851|CAND-013800:0872-0851"
"la colmena","universidad autónoma del estado de méxico","j-disc-issn-2448-6302;j-disc-issn-1405-6313","CAND-008139;CAND-020911",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2448-6302)","CAND-008139:2448-6302|CAND-020911:2448-6302"
"revista de estudos literários","coimbra university press","j-disc-issn-2183-847X;j-disc-issn-2182-1526","CAND-008317;CAND-020133",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2182-1526)","CAND-008317:2182-1526|CAND-020133:2182-1526"
"pedagogics psychology medical-biological problems of physical training and sports","h.s. skovoroda kharkov national pedagogical university","j-disc-issn-2308-7269;j-disc-issn-1818-9172","CAND-008395;CAND-020912",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1818-9172)","CAND-008395:1818-9172|CAND-020912:1818-9172"
"edutech","indonesia university of education","j-disc-issn-2502-0781;j-disc-issn-0852-1190","CAND-008421;CAND-021089",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0852-1190)","CAND-008421:0852-1190|CAND-021089:0852-1190"
"encounters in theory and history of education","queen's university","j-disc-issn-2560-8371;j-disc-issn-1494-4936","CAND-008474;CAND-014076",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1494-4936)","CAND-008474:1494-4936|CAND-014076:1494-4936"
"journal of techniques","middle east technical university","j-disc-issn-2708-8383;j-disc-issn-1818-653X","CAND-008523;CAND-021032",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1818-653X)","CAND-008523:1818-653X|CAND-021032:1818-653X"
"science editing","korean council of science editors","j-disc-issn-2288-7474;j-disc-issn-2287-7835","CAND-008617;CAND-023051",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2287-7835)","CAND-008617:2287-7835|CAND-023051:2287-7835"
"nordic journal of digital literacy","universitetsforlaget","j-disc-issn-1891-943X;j-disc-issn-0809-6724","CAND-008639;CAND-023064",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0809-6724)","CAND-008639:0809-6724|CAND-023064:0809-6724"
"the pan-american journal of ophthalmology","medknow","j-disc-issn-2666-4909;j-disc-issn-2219-4665","CAND-008663;CAND-019184",confirmed_distinct,"candidate entities resolve to different OpenAlex issn_l values (2666-4909, 2219-4665)","CAND-008663:2666-4909|CAND-019184:2219-4665"
"istanbul journal of pharmacy","istanbul university","j-disc-issn-2548-0731;j-disc-issn-0367-7524","CAND-008672;CAND-023013",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0367-7524)","CAND-008672:0367-7524|CAND-023013:0367-7524"
"european oral research","istanbul university","j-disc-issn-2630-6158;j-disc-issn-0257-8212","CAND-008701;CAND-023054",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0257-8212)","CAND-008701:0257-8212|CAND-023054:0257-8212"
"scientific annals of economics and business","de gruyter open","j-disc-issn-2501-1960;j-disc-issn-0379-7864","CAND-008837;CAND-023023",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0379-7864)","CAND-008837:0379-7864|CAND-023023:0379-7864"
"jurnal manajemen","tarumanagara university","j-disc-issn-1410-3583;j-disc-issn-2301-4628","CAND-008983;CAND-010341",confirmed_distinct,"candidate entities resolve to different OpenAlex issn_l values (1410-3583, 2086-7840)","CAND-008983:1410-3583|CAND-010341:2086-7840"
"international journal of e-learning & distance education","athabasca university press","j-disc-issn-2292-8588;j-disc-issn-0830-0445","CAND-009312;CAND-023075",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0830-0445)","CAND-009312:0830-0445|CAND-023075:0830-0445"
"artcultura","federal university of uberlândia","j-disc-issn-2178-3845;j-disc-issn-1516-8603","CAND-009421;CAND-021002",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1516-8603)","CAND-009421:1516-8603|CAND-021002:1516-8603"
"lifestyle genomics","karger publishers","j-disc-issn-2504-3161;j-disc-issn-1661-6499","CAND-009461;CAND-023029",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1661-6499)","CAND-009461:1661-6499|CAND-023029:1661-6499"
"russian journal of linguistics","peoples' friendship university of russia","j-disc-issn-2686-8024;j-disc-issn-2312-9182","CAND-009491;CAND-013649",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2312-9182)","CAND-009491:2312-9182|CAND-013649:2312-9182"
"journal of education","academy of science of south africa","j-disc-issn-2520-9868;j-disc-issn-0259-479X","CAND-009851;CAND-020995",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0259-479X)","CAND-009851:0259-479X|CAND-020995:0259-479X"
"psicogente","universidad simón bolívar","j-disc-issn-2027-212X;j-disc-issn-0124-0137","CAND-010264;CAND-020462",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0124-0137)","CAND-010264:0124-0137|CAND-020462:0124-0137"
"andharupa jurnal desain komunikasi visual & multimedia","nuswantoro dian university","j-disc-issn-2477-3913;j-disc-issn-2477-2852","CAND-010293;CAND-020924",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2477-2852)","CAND-010293:2477-2852|CAND-020924:2477-2852"
"european journal of management issues","oles honchar dnipro national university","j-disc-issn-2519-8564;j-disc-issn-2409-7101","CAND-010324;CAND-023098",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2409-7101)","CAND-010324:2409-7101|CAND-023098:2409-7101"
"jurnal prima edukasia","state university of yogyakarta","j-disc-issn-2460-9927;j-disc-issn-2338-4743","CAND-010576;CAND-020954",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2460-9927)","CAND-010576:2460-9927|CAND-020954:2460-9927"
"revista latinoamericana de población","asociación latinoamericana de población","j-disc-issn-2393-6401;j-disc-issn-2175-8581","CAND-010577;CAND-020899",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2175-8581)","CAND-010577:2175-8581|CAND-020899:2175-8581"
"informaatiotutkimus","informaatiotutkimuksen yhdistys ity","j-disc-issn-1797-9129;j-disc-issn-1797-9137","CAND-010593;CAND-020991",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1797-9129)","CAND-010593:1797-9129|CAND-020991:1797-9129"
"revista prâksis","universidade feevale","j-disc-issn-2448-1939;j-disc-issn-1807-1112","CAND-010630;CAND-021013",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1807-1112)","CAND-010630:1807-1112|CAND-021013:1807-1112"
"etkileşim","üsküdar university","j-disc-issn-2636-8242;j-disc-issn-2636-7955","CAND-010792;CAND-021046",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2636-7955)","CAND-010792:2636-7955|CAND-021046:2636-7955"
"current journal of neurology","knowledge e","j-disc-issn-2717-011X;j-disc-issn-2008-384X","CAND-010810;CAND-023106",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2008-384X)","CAND-010810:2008-384X|CAND-023106:2008-384X"
"acta colombiana de psicología","catholic university of colombia","j-disc-issn-1909-9711;j-disc-issn-0123-9155","CAND-010913;CAND-017300",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0123-9155)","CAND-010913:0123-9155|CAND-017300:0123-9155"
"natural history sciences","pagepress (italy)","j-disc-issn-2385-0442;j-disc-issn-0037-8844","CAND-010981;CAND-023107",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0037-8844)","CAND-010981:0037-8844|CAND-023107:0037-8844"
"periodica polytechnica architecture","budapest university of technology and economics","j-disc-issn-1789-3437;j-disc-issn-0324-590X","CAND-011023;CAND-021058",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0324-590X)","CAND-011023:0324-590X|CAND-021058:0324-590X"
"anales de investigación en arquitectura","universidad ort uruguay","j-disc-issn-2301-1505;j-disc-issn-1688-8766","CAND-011035;CAND-023114",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1688-8766)","CAND-011035:1688-8766|CAND-023114:1688-8766"
"medical technology and public health journal","universitas nahdlatul ulama surabaya","j-disc-issn-2549-2993;j-disc-issn-2549-189X","CAND-011067;CAND-021044",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2549-189X)","CAND-011067:2549-189X|CAND-021044:2549-189X"
"journal of economy culture and society","istanbul university","j-disc-issn-2645-8772;j-disc-issn-2602-2656","CAND-011147;CAND-020435",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2602-2656)","CAND-011147:2602-2656|CAND-020435:2602-2656"
"türk dili ve edebiyatı dergisi / journal of turkish language and literature","istanbul university","j-disc-issn-2602-2648;j-disc-issn-1015-2091","CAND-011249;CAND-020166",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1015-2091)","CAND-011249:1015-2091|CAND-020166:1015-2091"
"media statistika","diponegoro university","j-disc-issn-2477-0647;j-disc-issn-1979-3693","CAND-011466;CAND-021085",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1979-3693)","CAND-011466:1979-3693|CAND-021085:1979-3693"
"berkala kedokteran","lambung mangkurat university","j-disc-issn-2338-2198;j-disc-issn-1412-0550","CAND-011596;CAND-021116",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1412-0550)","CAND-011596:1412-0550|CAND-021116:1412-0550"
"justisi","universitas muhammadiyah sidoarjo","j-disc-issn-2686-0821;j-disc-issn-1979-7532","CAND-011835;CAND-021076",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2686-0821)","CAND-011835:2686-0821|CAND-021076:2686-0821"
"ultrasound international open","georg thieme verlag","j-disc-issn-2199-7152;j-disc-issn-2509-596X","CAND-011914;CAND-021008",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2199-7152)","CAND-011914:2199-7152|CAND-021008:2199-7152"
"jurnal manajemen dan pelayanan farmasi (journal of management and pharmacy practice)","gadjah mada university","j-disc-issn-2443-2946;j-disc-issn-2088-8139","CAND-012006;CAND-021105",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2088-8139)","CAND-012006:2088-8139|CAND-021105:2088-8139"
"archive of clinical medicine","ivano-frankivsk national medical university","j-disc-issn-2414-9853;j-disc-issn-2312-7007","CAND-012170;CAND-020992",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2312-7007)","CAND-012170:2312-7007|CAND-020992:2312-7007"
