title,publisher,legacy_ids,candidate_entities,rescoring
psychological-educational studies,moscow state university of psychology and education,j-disc-issn-2587-6139;j-disc-issn-2074-5885,CAND-006285;CAND-021157,openalex_confirms_distinct
revista ciencias de la salud,universidad colegio mayor nuestra señora del rosario,j-disc-issn-2145-4507;j-disc-issn-1692-7273,CAND-006295;CAND-020940,openalex_confirms_same
eurasian journal of emergency medicine,galenos yayinevi,j-disc-issn-2149-5807;j-disc-issn-1305-760X,CAND-006384;CAND-022969,openalex_confirms_same
humanis,udayana university,j-disc-issn-2302-920X;j-disc-issn-2528-5076,CAND-006386;CAND-021118,openalex_confirms_same
litera,state university of yogyakarta,j-disc-issn-2460-8319;j-disc-issn-1412-2596,CAND-006401;CAND-021083,openalex_confirms_same
i̇stanbul medical journal,galenos yayinevi,j-disc-issn-2148-094X;j-disc-issn-2619-9793,CAND-006870;CAND-021126,openalex_confirms_same
journal of architecture and urbanism,vilnius gediminas technical university,j-disc-issn-2029-7947;j-disc-issn-1392-1630,CAND-007044;CAND-023017,openalex_confirms_same
fossil record,wiley,j-disc-issn-2193-0066;j-disc-issn-1860-1014,CAND-007363;CAND-022984,openalex_confirms_same
galician medical journal,ivano-frankivsk national medical university,j-disc-issn-2414-1518;j-disc-issn-2306-4285,CAND-007510;CAND-020958,openalex_confirms_same
espiral estudios sobre estado y sociedad,university of guadalajara,j-disc-issn-2594-021X;j-disc-issn-1665-0565,CAND-007658;CAND-020906,openalex_confirms_same
abei journal,university of são paulo,j-disc-issn-2595-8127;j-disc-issn-1518-0581,CAND-007701;CAND-021077,openalex_confirms_same
jupiis jurnal pendidikan ilmu-ilmu sosial,state university of medan,j-disc-issn-2407-7429;j-disc-issn-2085-482X,CAND-007912;CAND-021025,openalex_confirms_same
jurnal teknik industri,petra christian university,j-disc-issn-1978-1431;j-disc-issn-1411-2485,CAND-007989;CAND-008668,openalex_confirms_distinct
kembara journal of scientific language literature and teaching,muhammadiyah university of malang,j-disc-issn-2442-9287;j-disc-issn-2442-7632,CAND-008008;CAND-021005,openalex_confirms_same
revista filosófica de coimbra,coimbra university press,j-disc-issn-0872-0851;j-disc-issn-2184-7584,CAND-008101;CAND-013800,openalex_confirms_same
la colmena,universidad autónoma del estado de méxico,j-disc-issn-2448-6302;j-disc-issn-1405-6313,CAND-008139;CAND-020911,openalex_confirms_same
revista de estudos literários,coimbra university press,j-disc-issn-2183-847X;j-disc-issn-2182-1526,CAND-008317;CAND-020133,openalex_confirms_same
pedagogics psychology medical-biological problems of physical training and sports,h.s. skovoroda kharkov national pedagogical university,j-disc-issn-2308-7269;j-disc-issn-1818-9172,CAND-008395;CAND-020912,openalex_confirms_same
edutech,indonesia university of education,j-disc-issn-2502-0781;j-disc-issn-0852-1190,CAND-008421;CAND-021089,openalex_confirms_same
encounters in theory and history of education,queen's university,j-disc-issn-2560-8371;j-disc-issn-1494-4936,CAND-008474;CAND-014076,openalex_confirms_same
journal of techniques,middle east technical university,j-disc-issn-2708-8383;j-disc-issn-1818-653X,CAND-008523;CAND-021032,openalex_confirms_same
science editing,korean council of science editors,j-disc-issn-2288-7474;j-disc-issn-2287-7835,CAND-008617;CAND-023051,openalex_confirms_same
nordic journal of digital literacy,universitetsforlaget,j-disc-issn-1891-943X;j-disc-issn-0809-6724,CAND-008639;CAND-023064,openalex_confirms_same
the pan-american journal of ophthalmology,medknow,j-disc-issn-2666-4909;j-disc-issn-2219-4665,CAND-008663;CAND-019184,openalex_confirms_distinct
istanbul journal of pharmacy,istanbul university,j-disc-issn-2548-0731;j-disc-issn-0367-7524,CAND-008672;CAND-023013,openalex_confirms_same
european oral research,istanbul university,j-disc-issn-2630-6158;j-disc-issn-0257-8212,CAND-008701;CAND-023054,openalex_confirms_same
scientific annals of economics and business,de gruyter open,j-disc-issn-2501-1960;j-disc-issn-0379-7864,CAND-008837;CAND-023023,openalex_confirms_same
jurnal manajemen,tarumanagara university,j-disc-issn-1410-3583;j-disc-issn-2301-4628,CAND-008983;CAND-010341,openalex_confirms_distinct
international journal of e-learning & distance education,athabasca university press,j-disc-issn-2292-8588;j-disc-issn-0830-0445,CAND-009312;CAND-023075,openalex_confirms_same
artcultura,federal university of uberlândia,j-disc-issn-2178-3845;j-disc-issn-1516-8603,CAND-009421;CAND-021002,openalex_confirms_same
lifestyle genomics,karger publishers,j-disc-issn-2504-3161;j-disc-issn-1661-6499,CAND-009461;CAND-023029,openalex_confirms_same
russian journal of linguistics,peoples' friendship university of russia,j-disc-issn-2686-8024;j-disc-issn-2312-9182,CAND-009491;CAND-013649,openalex_confirms_same
journal of education,academy of science of south africa,j-disc-issn-2520-9868;j-disc-issn-0259-479X,CAND-009851;CAND-020995,openalex_confirms_same
psicogente,universidad simón bolívar,j-disc-issn-2027-212X;j-disc-issn-0124-0137,CAND-010264;CAND-020462,openalex_confirms_same
andharupa jurnal desain komunikasi visual & multimedia,nuswantoro dian university,j-disc-issn-2477-3913;j-disc-issn-2477-2852,CAND-010293;CAND-020924,openalex_confirms_same
european journal of management issues,oles honchar dnipro national university,j-disc-issn-2519-8564;j-disc-issn-2409-7101,CAND-010324;CAND-023098,openalex_confirms_same
jurnal prima edukasia,state university of yogyakarta,j-disc-issn-2460-9927;j-disc-issn-2338-4743,CAND-010576;CAND-020954,openalex_confirms_same
revista latinoamericana de población,asociación latinoamericana de población,j-disc-issn-2393-6401;j-disc-issn-2175-8581,CAND-010577;CAND-020899,openalex_confirms_same
informaatiotutkimus,informaatiotutkimuksen yhdistys ity,j-disc-issn-1797-9129;j-disc-issn-1797-9137,CAND-010593;CAND-020991,openalex_confirms_same
revista prâksis,universidade feevale,j-disc-issn-2448-1939;j-disc-issn-1807-1112,CAND-010630;CAND-021013,openalex_confirms_same
etkileşim,üsküdar university,j-disc-issn-2636-8242;j-disc-issn-2636-7955,CAND-010792;CAND-021046,openalex_confirms_same
current journal of neurology,knowledge e,j-disc-issn-2717-011X;j-disc-issn-2008-384X,CAND-010810;CAND-023106,openalex_confirms_same
acta colombiana de psicología,catholic university of colombia,j-disc-issn-1909-9711;j-disc-issn-0123-9155,CAND-010913;CAND-017300,openalex_confirms_same
natural history sciences,pagepress (italy),j-disc-issn-2385-0442;j-disc-issn-0037-8844,CAND-010981;CAND-023107,openalex_confirms_same
periodica polytechnica architecture,budapest university of technology and economics,j-disc-issn-1789-3437;j-disc-issn-0324-590X,CAND-011023;CAND-021058,openalex_confirms_same
anales de investigación en arquitectura,universidad ort uruguay,j-disc-issn-2301-1505;j-disc-issn-1688-8766,CAND-011035;CAND-023114,openalex_confirms_same
medical technology and public health journal,universitas nahdlatul ulama surabaya,j-disc-issn-2549-2993;j-disc-issn-2549-189X,CAND-011067;CAND-021044,openalex_confirms_same
journal of economy culture and society,istanbul university,j-disc-issn-2645-8772;j-disc-issn-2602-2656,CAND-011147;CAND-020435,openalex_confirms_same
türk dili ve edebiyatı dergisi / journal of turkish language and literature,istanbul university,j-disc-issn-2602-2648;j-disc-issn-1015-2091,CAND-011249;CAND-020166,openalex_confirms_same
media statistika,diponegoro university,j-disc-issn-2477-0647;j-disc-issn-1979-3693,CAND-011466;CAND-021085,openalex_confirms_same
berkala kedokteran,lambung mangkurat university,j-disc-issn-2338-2198;j-disc-issn-1412-0550,CAND-011596;CAND-021116,openalex_confirms_same
justisi,universitas muhammadiyah sidoarjo,j-disc-issn-2686-0821;j-disc-issn-1979-7532,CAND-011835;CAND-021076,openalex_confirms_same
ultrasound international open,georg thieme verlag,j-disc-issn-2199-7152;j-disc-issn-2509-596X,CAND-011914;CAND-021008,openalex_confirms_same
jurnal manajemen dan pelayanan farmasi (journal of management and pharmacy practice),gadjah mada university,j-disc-issn-2443-2946;j-disc-issn-2088-8139,CAND-012006;CAND-021105,openalex_confirms_same
archive of clinical medicine,ivano-frankivsk national medical university,j-disc-issn-2414-9853;j-disc-issn-2312-7007,CAND-012170;CAND-020992,openalex_confirms_same
information impact journal of information and knowledge management,african journals online,j-disc-issn-2360-994X;j-disc-issn-2141-4297,CAND-012185;CAND-021071,openalex_confirms_same
jurnal pendidikan ilmu sosial,muhammadiyah university press,j-disc-issn-0854-5251;j-disc-issn-1412-3835,CAND-012347;CAND-016013,openalex_confirms_distinct
jurnal pendidikan keperawatan indonesia,universitas pendidikan indonesia press,j-disc-issn-2477-3743;j-disc-issn-2541-0024,CAND-012377;CAND-021015,openalex_confirms_same
acta educationis generalis,de gruyter,j-disc-issn-2585-741X;j-disc-issn-1338-3965,CAND-012463;CAND-023084,openalex_confirms_same
jurnal smart (studi masyarakat religi dan tradisi),ministry of religious affairs of indonesia,j-disc-issn-2528-553X;j-disc-issn-2460-6294,CAND-012529;CAND-020781,openalex_confirms_same
şarkiyat mecmuası / journal of oriental studies,istanbul university,j-disc-issn-2717-6916;j-disc-issn-1307-5020,CAND-012751;CAND-020672,openalex_confirms_same
european journal of biology,istanbul university,j-disc-issn-2618-6144;j-disc-issn-2602-2575,CAND-012884;CAND-020359,openalex_confirms_same
public and private international law bulletin,istanbul university,j-disc-issn-2651-5377;j-disc-issn-1308-0385,CAND-012971;CAND-023077,openalex_confirms_same
geram,uir press,j-disc-issn-2580-376X;j-disc-issn-2338-0446,CAND-013092;CAND-020967,openalex_confirms_same
caderno de administração,universidade estadual de maringá,j-disc-issn-2238-1465;j-disc-issn-1516-1803,CAND-013204;CAND-020971,openalex_confirms_same
ulusal romatoloji dergisi,galenos yayinevi,j-disc-issn-2651-2661;j-disc-issn-2651-2653,CAND-013239;CAND-020997,openalex_confirms_same
istanbul journal of economics / i̇stanbul i̇ktisat dergisi,istanbul university,j-disc-issn-2602-3954;j-disc-issn-2602-4152,CAND-013284;CAND-020673,openalex_confirms_same
nordic journal of art and research,oslo and akershus university college of applied sciences,j-disc-issn-2535-7328;j-disc-issn-1893-2479,CAND-013787;CAND-020723,openalex_confirms_same
jurnal ilmu dan teknologi kesehatan,poltekkes kemenkes yogyakarta,j-disc-issn-2338-9109;j-disc-issn-2338-9095,CAND-013789;CAND-021096,openalex_confirms_same
progress,wydawnictwo uniwersytetu jagiellońskiego,j-disc-issn-2543-9928;j-disc-issn-2543-8638,CAND-013826;CAND-020554,openalex_confirms_same
journal of natural science and integration,universitas islam negeri sultan syarif kasim riau,j-disc-issn-2620-5092;j-disc-issn-2620-4967,CAND-013844;CAND-021024,openalex_confirms_same
falah jurnal ekonomi syariah,universitas muhammadiyah semarang,j-disc-issn-2502-7824;j-disc-issn-2502-3918,CAND-013981;CAND-021121,openalex_confirms_same
intensif jurnal ilmiah penelitian dan penerapan teknologi sistem informasi,universitas nusantara pgri kediri,j-disc-issn-2549-6824;j-disc-issn-2580-409X,CAND-014123;CAND-020964,openalex_confirms_same
revista criterios,universidad mariana,j-disc-issn-2256-1161;j-disc-issn-0121-8670,CAND-014320;CAND-020587,openalex_confirms_same
al-mizan,institut agama islam negeri (iain) sultan amai gorontalo,j-disc-issn-2442-8256;j-disc-issn-1907-0985,CAND-014346;CAND-021021,openalex_confirms_same
siyasal journal of political sciences,istanbul university,j-disc-issn-2602-3598;j-disc-issn-1303-1260,CAND-014395;CAND-023191,openalex_confirms_same
journal of kinesiology and exercise sciences,index copernicus international s.a.,j-disc-issn-1731-0652;j-disc-issn-2956-4581,CAND-014420;CAND-016191,openalex_confirms_same
central european forestry journal,de gruyter open,j-disc-issn-2454-034X;j-disc-issn-0323-1046,CAND-014472;CAND-023030,openalex_confirms_same
ensayos revista de economía,universidad autónoma de nuevo león,j-disc-issn-2448-8402;j-disc-issn-1870-221X,CAND-014693;CAND-021134,openalex_confirms_same
european pharmaceutical journal,de gruyter open,j-disc-issn-2453-6725;j-disc-issn-0301-2298,CAND-014727;CAND-023119,openalex_confirms_same
agroindustrial technology journal,universitas darussalam gontor,j-disc-issn-2598-9480;j-disc-issn-2599-0799,CAND-014769;CAND-021137,openalex_confirms_same
jurnal peternakan,universitas islam negeri sultan syarif kasim riau,j-disc-issn-2355-9470;j-disc-issn-1829-8729,CAND-014809;CAND-021042,openalex_confirms_same
jurnal social economic of agriculture,tanjungpura university,j-disc-issn-2579-3268;j-disc-issn-2252-3820,CAND-014866;CAND-021115,openalex_confirms_same
cm communication and media,faculty of agronomy in čačak,j-disc-issn-2466-541X;j-disc-issn-1452-7405,CAND-014872;CAND-023128,openalex_confirms_same
revista nuevo humanismo,"national university, costa rica",j-disc-issn-2215-4078;j-disc-issn-1405-0234,CAND-014893;CAND-021034,openalex_confirms_same
gender and research,institute of sociology,j-disc-issn-2570-6578;j-disc-issn-1213-0028,CAND-015178;CAND-023166,openalex_confirms_same
ijnp (indonesian journal of nursing practices),muhammadiyah university of yogyakarta,j-disc-issn-2548-592X;j-disc-issn-2548-4249,CAND-015258;CAND-021031,openalex_confirms_same
islamuna jurnal studi islam,institut agama islam negeri mataram,j-disc-issn-2443-3535;j-disc-issn-2407-411X,CAND-015488;CAND-021099,openalex_confirms_same
international journal of islamic business ethics,universitas islam sultan agung,j-disc-issn-2502-4647;j-disc-issn-2502-0633,CAND-015568;CAND-021043,openalex_confirms_same
polish cartographical review,de gruyter open,j-disc-issn-2450-6966;j-disc-issn-0324-8321,CAND-015685;CAND-020488,openalex_confirms_same
thinking skills and creativity journal,elsevier bv,j-disc-issn-2615-6105;j-disc-issn-2615-4692,CAND-015691;CAND-021033,openalex_confirms_same
philanthropy journal of psychology,universitas semarang,j-disc-issn-2580-8532;j-disc-issn-2580-6076,CAND-015711;CAND-021132,openalex_confirms_same
sti policy and management journal,indonesian institute of sciences,j-disc-issn-2502-5996;j-disc-issn-1907-9753,CAND-015835;CAND-023217,openalex_confirms_same
jurnal ilmiah kursor,university of trunojoyo madura,j-disc-issn-2301-6914;j-disc-issn-0216-0544,CAND-015961;CAND-020979,openalex_confirms_same
jkbm (jurnal konsep bisnis dan manajemen),medan area university,j-disc-issn-2407-263X;j-disc-issn-2407-2648,CAND-015995;CAND-021049,openalex_confirms_same
annales de la faculté de droit d’istanbul,istanbul university,j-disc-issn-2687-4113;j-disc-issn-0578-9745,CAND-016134;CAND-020519,openalex_confirms_same
international journal of critical diversity studies,pluto journals,j-disc-issn-2516-5518;j-disc-issn-2516-550X,CAND-016143;CAND-020278,openalex_confirms_same
journal of basic medical veterinary,airlangga university,j-disc-issn-2774-9959;j-disc-issn-2302-6820,CAND-016322;CAND-020433,openalex_confirms_same
jaur (journal of architecture and urbanism research),medan area university,j-disc-issn-2599-0160;j-disc-issn-2599-0179,CAND-016640;CAND-021022,openalex_confirms_same
jati jurnal akuntansi terapan indonesia,muhammadiyah university of yogyakarta,j-disc-issn-2615-0689;j-disc-issn-2615-157X,CAND-016678;CAND-021063,openalex_confirms_same
srm journal of research in dental sciences,medknow,j-disc-issn-2772-5243;j-disc-issn-0976-433X,CAND-016693;CAND-022980,openalex_confirms_same
i̇stanbul üniversitesi çeviribilim dergisi / istanbul university journal of translation studies,istanbul university,j-disc-issn-2717-6959;j-disc-issn-1309-6214,CAND-016767;CAND-020825,openalex_confirms_same
medievalia,national autonomous university of mexico,j-disc-issn-2448-8232;j-disc-issn-0188-6657,CAND-016773;CAND-019547,openalex_confirms_same
ethics politics & society,university of minho,j-disc-issn-2184-2582;j-disc-issn-2184-2574,CAND-016796;CAND-021104,openalex_confirms_same
insurance markets and companies,business perspectives,j-disc-issn-2522-9591;j-disc-issn-2078-2454,CAND-016806;CAND-023222,openalex_confirms_same
mozaik humaniora,airlangga university,j-disc-issn-2442-935X;j-disc-issn-2442-8469,CAND-016897;CAND-021070,openalex_confirms_same
jla (jurnal lingua applicata),gadjah mada university,j-disc-issn-2598-0556;j-disc-issn-2597-6117,CAND-016931;CAND-021078,openalex_confirms_same
tiyatro eleştirmenliği ve dramaturji bölümü dergisi / journal of theatre criticism and dramaturgy,istanbul university,j-disc-issn-2687-4636;j-disc-issn-1303-8605,CAND-017442;CAND-020755,openalex_confirms_same
indonesian contemporary nursing journal (icon journal),hasanuddin university,j-disc-issn-2686-116X;j-disc-issn-2528-2557,CAND-017582;CAND-021011,openalex_confirms_same
sanat tarihi yıllığı / journal of art history,istanbul university,j-disc-issn-2717-6940;j-disc-issn-0579-4080,CAND-017828;CAND-020756,openalex_confirms_same
le foucaldien,open library of humanities,j-disc-issn-2515-2076;j-disc-issn-2755-0923,CAND-017866;CAND-018730,openalex_confirms_same
apuntes electorales,instituto electoral del estado de méxico,j-disc-issn-2448-8585;j-disc-issn-1665-0921,CAND-018147;CAND-020952,openalex_confirms_same
rekayasa bahan alam dan energi berkelanjutan,brawijaya university,j-disc-issn-2548-2181;j-disc-issn-2548-2300,CAND-018154;CAND-020986,openalex_confirms_same
global focus,brawijaya university,j-disc-issn-2776-9399;j-disc-issn-2723-4215,CAND-018180;CAND-021130,openalex_confirms_same
jurnal transformative,brawijaya university,j-disc-issn-2581-0308;j-disc-issn-2548-3323,CAND-018232;CAND-020467,openalex_confirms_same
indonesian journal of learning and instruction,university of kuningan and association of indonesian scholars of english education (aisee),j-disc-issn-2614-5677;j-disc-issn-2614-8250,CAND-018243;CAND-021138,openalex_confirms_same
jipva (jurnal pendidikan ipa veteran),institut keguruan dan ilmu pendidikan (ikip) veteran semarang,j-disc-issn-2598-0904;j-disc-issn-2598-5876,CAND-019336;CAND-021067,openalex_confirms_same
territorio italia,agenzia delle entrate,j-disc-issn-2499-2674;j-disc-issn-2499-2666,CAND-022337;CAND-022345,openalex_confirms_same
