posi_id,legacy_id,title,issn_online,openalex_source_id,article_count
POSI-J-000496,j-bench-frontiers-in-bee-science-4129,"Frontiers in Bee Science",2813-5911,S4387286840,61
POSI-J-017144,j-bench-frontiers-in-behavioral-economics-4130,"Frontiers in Behavioral Economics",2813-5296,S4387285767,109
POSI-J-000088,j-bench-frontiers-in-behavioral-neuroscience-4131,"Frontiers in Behavioral Neuroscience",1662-5153,S76576941,5341
POSI-J-000144,j-bench-frontiers-in-big-data-4132,"Frontiers in Big Data",2624-909X,S4210201220,764
POSI-J-000087,j-bench-frontiers-in-bioengineering-and-biotechnology-4133,"Frontiers in Bioengineering and Biotechnology",2296-4185,S2595131146,14735
POSI-J-005280,j-bench-frontiers-in-bioinformatics-4134,"Frontiers in Bioinformatics",2673-7647,S4210219554,771
POSI-J-018834,j-bench-frontiers-in-biomaterials-science-4135,"Frontiers in Biomaterials Science",2813-3749,S4387282987,64
POSI-J-020056,j-bench-frontiers-in-biophysics-4136,"Frontiers in Biophysics",2813-7183,S4387289881,32
POSI-J-019164,j-bench-frontiers-in-bird-science-4137,"Frontiers in Bird Science",2813-3870,S4387283600,57
POSI-J-009178,j-bench-frontiers-in-blockchain-4138,"Frontiers in Blockchain",2624-7852,S4210212584,385
POSI-J-000133,j-bench-frontiers-in-built-environment-4139,"Frontiers in Built Environment",2297-3362,S2597036347,2226
POSI-J-019486,j-bench-frontiers-in-cancer-control-and-society-4140,"Frontiers in Cancer Control and Society",2813-835X,S4389157585,47
POSI-J-020083,j-bench-frontiers-in-carbon-4141,"Frontiers in Carbon",2813-4192,S4387283976,26
POSI-J-000115,j-bench-frontiers-in-cardiovascular-medicine-4142,"Frontiers in Cardiovascular Medicine",2297-055X,S2595413687,14512
POSI-J-018045,j-bench-frontiers-in-catalysis-4143,"Frontiers in Catalysis",2673-7841,S4210200698,84
POSI-J-019593,j-bench-frontiers-in-cell-death-4144,"Frontiers in Cell Death",2813-5563,S4387286434,43
POSI-J-000111,j-bench-frontiers-in-cellular-neuroscience-4145,"Frontiers in Cellular Neuroscience",1662-5102,S36653316,6984
POSI-J-026387,j-bench-frontiers-in-ceramics-4146,"Frontiers in Ceramics",2813-611X,S4387287337,3
POSI-J-017187,j-bench-frontiers-in-chemical-biology-4147,"Frontiers in Chemical Biology",2813-530X,S4387285773,108
POSI-J-008030,j-bench-frontiers-in-chemical-engineering-4148,"Frontiers in Chemical Engineering",2673-2718,S4210240945,451
POSI-J-000117,j-bench-frontiers-in-chemistry-4149,"Frontiers in Chemistry",2296-2646,S2764970645,8449
POSI-J-011236,j-bench-frontiers-in-child-and-adolescent-psychiatry-4150,"Frontiers in Child and Adolescent Psychiatry",2813-4540,S4387284405,302
POSI-J-000142,j-bench-frontiers-in-climate-4151,"Frontiers in Climate",2624-9553,S4210213052,1230
POSI-J-008645,j-bench-frontiers-in-clinical-diabetes-and-healthcare-4152,"Frontiers in Clinical Diabetes and Healthcare",2673-6616,S4210235460,417
POSI-J-020371,j-bench-frontiers-in-coatings-dyes-and-interface-engineering-4153,"Frontiers in Coatings, Dyes and Interface Engineering",2813-6861,S4387288529,14
POSI-J-000136,j-bench-frontiers-in-cognition-4154,"Frontiers in Cognition",2813-4532,S4387284350,190
POSI-J-000166,j-bench-frontiers-in-communication-4155,"Frontiers in Communication",2297-900X,S2596093566,2239
POSI-J-013045,j-bench-frontiers-in-communications-and-networks-4156,"Frontiers in Communications and Networks",2673-530X,S4210213607,215
POSI-J-018900,j-bench-frontiers-in-complex-systems-4157,"Frontiers in Complex Systems",2813-6187,S4387287442,65
POSI-J-000095,j-bench-frontiers-in-computational-neuroscience-4158,"Frontiers in Computational Neuroscience",1662-5188,S19778766,3162
POSI-J-000140,j-bench-frontiers-in-computer-science-4159,"Frontiers in Computer Science",2624-9898,S4210211086,1133
POSI-J-000165,j-bench-frontiers-in-conservation-science-4160,"Frontiers in Conservation Science",2673-611X,S4210223594,698
POSI-J-018121,j-bench-frontiers-in-control-engineering-4161,"Frontiers in Control Engineering",2673-6268,S4210182640,79
POSI-J-013708,j-bench-frontiers-in-dementia-4162,"Frontiers in Dementia",2813-3919,S4387283260,200
POSI-J-000135,j-bench-frontiers-in-dental-medicine-4163,"Frontiers in Dental Medicine",2673-4915,S4210202940,726
POSI-J-000405,j-bench-frontiers-in-detector-science-and-technology-4164,"Frontiers in Detector Science and Technology",2813-8031,S4387292747,32
POSI-J-014461,j-bench-frontiers-in-developmental-psychology-4165,"Frontiers in Developmental Psychology",2813-7779,S4387291417,202
POSI-J-000137,j-bench-frontiers-in-digital-health-4166,"Frontiers in Digital Health",2673-253X,S4210170686,2122
POSI-J-000162,j-bench-frontiers-in-disaster-and-emergency-medicine-4167,"Frontiers in Disaster and Emergency Medicine",2813-7302,S4387290258,90
POSI-J-016296,j-bench-frontiers-in-drug-delivery-4168,"Frontiers in Drug Delivery",2674-0850,S4386621893,125
POSI-J-013686,j-bench-frontiers-in-drug-discovery-4169,"Frontiers in Drug Discovery",2674-0338,S4210199683,200
POSI-J-016699,j-bench-frontiers-in-drug-safety-and-regulation-4170,"Frontiers in Drug Safety and Regulation",2674-0869,S4210181589,116
POSI-J-000139,j-bench-frontiers-in-earth-science-4171,"Frontiers in Earth Science",2296-6463,S2595152256,9363
POSI-J-000127,j-bench-frontiers-in-ecology-and-evolution-4172,"Frontiers in Ecology and Evolution",2296-701X,S2597028195,6191
POSI-J-016135,j-bench-frontiers-in-electronic-materials-4173,"Frontiers in Electronic Materials",2673-9895,S4210203950,129
POSI-J-000164,j-bench-frontiers-in-electronics-4174,"Frontiers in Electronics",2673-5857,S4210239987,268
POSI-J-020171,j-bench-frontiers-in-energy-efficiency-4175,"Frontiers in Energy Efficiency",2813-6799,S4387288418,25
POSI-J-000125,j-bench-frontiers-in-energy-research-4176,"Frontiers in Energy Research",2296-598X,S2595193159,6770
POSI-J-015854,j-bench-frontiers-in-environmental-archaeology-4177,"Frontiers in Environmental Archaeology",2813-432X,S4387284015,148
POSI-J-014976,j-bench-frontiers-in-environmental-chemistry-4178,"Frontiers in Environmental Chemistry",2673-4486,S4210219002,159
POSI-J-017033,j-bench-frontiers-in-environmental-economics-4179,"Frontiers in Environmental Economics",2813-2823,S4387281381,124
POSI-J-000173,j-bench-frontiers-in-environmental-engineering-4180,"Frontiers in Environmental Engineering",2813-5067,S4387285408,65
POSI-J-018192,j-bench-frontiers-in-environmental-health-4181,"Frontiers in Environmental Health",2813-558X,S4387286327,85
POSI-J-010704,j-bench-frontiers-in-epidemiology-4182,"Frontiers in Epidemiology",2674-1199,S4210179157,311
POSI-J-018934,j-bench-frontiers-in-epigenetics-and-epigenomics-4183,"Frontiers in Epigenetics and Epigenomics",2813-706X,S4387289099,60
POSI-J-018374,j-bench-frontiers-in-ethology-4184,"Frontiers in Ethology",2813-5091,S4387285533,80
POSI-J-011879,j-bench-frontiers-in-food-science-and-technology-4185,"Frontiers in Food Science and Technology",2674-1121,S4210221350,259
POSI-J-000172,j-bench-frontiers-in-forests-and-global-change-4186,"Frontiers in Forests and Global Change",2624-893X,S4210178346,1755
POSI-J-019833,j-bench-frontiers-in-freshwater-science-4187,"Frontiers in Freshwater Science",2813-7124,S4387289671,34
POSI-J-020169,j-bench-frontiers-in-fuels-4188,"Frontiers in Fuels",2813-6217,S4387287583,26
POSI-J-000171,j-bench-frontiers-in-fungal-biology-4189,"Frontiers in Fungal Biology",2673-6128,S4210232538,353
POSI-J-014572,j-bench-frontiers-in-future-transportation-4190,"Frontiers in Future Transportation",2673-5210,S4210236336,181
POSI-J-013086,j-bench-frontiers-in-gastroenterology-4191,"Frontiers in Gastroenterology",2813-1169,S4387278648,231
POSI-J-000163,j-bench-frontiers-in-genome-editing-4192,"Frontiers in Genome Editing",2673-3439,S4210236911,313
POSI-J-019237,j-bench-frontiers-in-geochemistry-4193,"Frontiers in Geochemistry",2813-5962,S4387286906,50
POSI-J-000158,j-bench-frontiers-in-global-women-s-health-4194,"Frontiers in Global Women's Health",2673-5059,S4210241136,1177
POSI-J-003837,j-bench-frontiers-in-health-services-4195,"Frontiers in Health Services",2813-0146,S4386621993,1101
POSI-J-013587,j-bench-frontiers-in-hematology-4196,"Frontiers in Hematology",2813-3935,S4387283458,197
POSI-J-019483,j-bench-frontiers-in-high-performance-computing-4197,"Frontiers in High Performance Computing",2813-7337,S4387290302,45
POSI-J-014944,j-bench-frontiers-in-horticulture-4198,"Frontiers in Horticulture",2813-3595,S4387282641,169
POSI-J-000159,j-bench-frontiers-in-human-dynamics-4199,"Frontiers in Human Dynamics",2673-2726,S4210235152,541
POSI-J-019626,j-bench-frontiers-in-imaging-4200,"Frontiers in Imaging",2813-3315,S4387282198,44
POSI-J-020192,j-bench-frontiers-in-industrial-engineering-4201,"Frontiers in Industrial Engineering",2813-6047,S4387287091,23
POSI-J-019664,j-bench-frontiers-in-industrial-microbiology-4202,"Frontiers in Industrial Microbiology",2813-7809,S4387291818,40
POSI-J-000157,j-bench-frontiers-in-insect-science-4203,"Frontiers in Insect Science",2673-8600,S4210210584,351
POSI-J-000109,j-bench-frontiers-in-integrative-neuroscience-4204,"Frontiers in Integrative Neuroscience",1662-5145,S158917573,1260
POSI-J-019163,j-bench-frontiers-in-lab-on-a-chip-technologies-4205,"Frontiers in Lab on a Chip Technologies",2813-3862,S4387283427,56
POSI-J-000153,j-bench-frontiers-in-language-sciences-4206,"Frontiers in Language Sciences",2813-4605,S4387284611,208
POSI-J-019098,j-bench-frontiers-in-lupus-4207,"Frontiers in Lupus",2813-6934,S4387288846,57
POSI-J-018970,j-bench-frontiers-in-malaria-4208,"Frontiers in Malaria",2813-7396,S4387290463,59
POSI-J-019861,j-bench-frontiers-in-mammal-science-4209,"Frontiers in Mammal Science",2813-4699,S4387284922,34
POSI-J-018368,j-bench-frontiers-in-manufacturing-technology-4210,"Frontiers in Manufacturing Technology",2813-0359,S4387279249,75
POSI-J-000097,j-bench-frontiers-in-marine-science-4211,"Frontiers in Marine Science",2296-7745,S2596539584,15982
POSI-J-000129,j-bench-frontiers-in-materials-4212,"Frontiers in Materials",2296-8016,S2595389538,4036
POSI-J-000170,j-bench-frontiers-in-mechanical-engineering-4213,"Frontiers in Mechanical Engineering",2297-3079,S2596399182,1058
POSI-J-019728,j-bench-frontiers-in-medical-engineering-4214,"Frontiers in Medical Engineering",2813-687X,S4387288508,37
POSI-J-007800,j-bench-frontiers-in-medical-technology-4215,"Frontiers in Medical Technology",2673-3129,S4210239291,475
POSI-J-018857,j-bench-frontiers-in-membrane-science-and-technology-4216,"Frontiers in Membrane Science and Technology",2813-1010,S4387279793,67
POSI-J-000378,j-bench-frontiers-in-metals-and-alloys-4217,"Frontiers in Metals and Alloys",2813-2459,S4387280172,19
POSI-J-011978,j-bench-frontiers-in-microbiomes-4218,"Frontiers in Microbiomes",2813-4338,S4387284079,259
POSI-J-000152,j-bench-frontiers-in-molecular-biosciences-4219,"Frontiers in Molecular Biosciences",2296-889X,S2595797843,6109
POSI-J-017552,j-bench-frontiers-in-molecular-medicine-4220,"Frontiers in Molecular Medicine",2674-0095,S4210189296,96
POSI-J-000146,j-bench-frontiers-in-molecular-neuroscience-4221,"Frontiers in Molecular Neuroscience",1662-5099,S39538987,4475
POSI-J-019735,j-bench-frontiers-in-musculoskeletal-disorders-4222,"Frontiers in Musculoskeletal Disorders",2813-883X,S4390296845,39
POSI-J-000185,j-bench-frontiers-in-nanotechnology-4223,"Frontiers in Nanotechnology",2673-3013,S4210212819,510
POSI-J-018251,j-bench-frontiers-in-natural-products-4224,"Frontiers in Natural Products",2813-2602,S4387280398,86
POSI-J-000161,j-bench-frontiers-in-nephrology-4225,"Frontiers in Nephrology",2813-0626,S4210215820,321
POSI-J-011116,j-bench-frontiers-in-network-physiology-4226,"Frontiers in Network Physiology",2674-0109,S4210233568,288
POSI-J-000126,j-bench-frontiers-in-neural-circuits-4227,"Frontiers in Neural Circuits",1662-5110,S73252628,1741
POSI-J-000123,j-bench-frontiers-in-neuroanatomy-4228,"Frontiers in Neuroanatomy",1662-5129,S171382541,1712
POSI-J-013114,j-bench-frontiers-in-neuroergonomics-4229,"Frontiers in Neuroergonomics",2673-6195,S4210224930,205
POSI-J-000154,j-bench-frontiers-in-neuroimaging-4230,"Frontiers in Neuroimaging",2813-1193,S4387278986,211
POSI-J-000092,j-bench-frontiers-in-neuroinformatics-4231,"Frontiers in Neuroinformatics",1662-5196,S179816892,2174
POSI-J-000120,j-bench-frontiers-in-neurorobotics-4232,"Frontiers in Neurorobotics",1662-5218,S115606517,1510
POSI-J-000160,j-bench-frontiers-in-nuclear-engineering-4233,"Frontiers in Nuclear Engineering",2813-3412,S4387282505,209
POSI-J-012246,j-bench-frontiers-in-nuclear-medicine-4234,"Frontiers in Nuclear Medicine",2673-8880,S4210199274,241
POSI-J-000148,j-bench-frontiers-in-nutrition-4235,"Frontiers in Nutrition",2296-861X,S2596909297,14430
POSI-J-018109,j-bench-frontiers-in-ocean-sustainability-4236,"Frontiers in Ocean Sustainability",2813-8287,S4387997605,91
POSI-J-004612,j-bench-frontiers-in-oncology-reviews-4237,"Frontiers in Oncology Reviews",1970-5557,S172330689,835
POSI-J-000147,j-bench-frontiers-in-ophthalmology-4238,"Frontiers in Ophthalmology",2674-0826,S4210204172,522
POSI-J-003363,j-bench-frontiers-in-oral-health-4239,"Frontiers in Oral Health",2673-4842,S4210201735,1222
POSI-J-016420,j-bench-frontiers-in-organizational-psychology-4240,"Frontiers in Organizational Psychology",2813-771X,S4387291118,139
POSI-J-000145,j-bench-frontiers-in-pain-research-4241,"Frontiers in Pain Research",2673-561X,S4210211842,1072
POSI-J-015200,j-bench-frontiers-in-parasitology-4242,"Frontiers in Parasitology",2813-2424,S4387280126,157
POSI-J-000130,j-bench-frontiers-in-pediatrics-4243,"Frontiers in Pediatrics",2296-2360,S2596117549,12902
POSI-J-019734,j-bench-frontiers-in-photobiology-4244,"Frontiers in Photobiology",2813-8228,S4387997531,39
POSI-J-015421,j-bench-frontiers-in-photonics-4245,"Frontiers in Photonics",2673-6853,S4210239415,149
POSI-J-000101,j-bench-frontiers-in-physics-4246,"Frontiers in Physics",2296-424X,S2596760093,5737
POSI-J-019666,j-bench-frontiers-in-plant-physiology-4247,"Frontiers in Plant Physiology",2813-821X,S4387997636,43
POSI-J-000179,j-bench-frontiers-in-political-science-4248,"Frontiers in Political Science",2673-3145,S4210231853,1405
POSI-J-020321,j-bench-frontiers-in-protistology-4249,"Frontiers in Protistology",2813-849X,S4389157910,16
POSI-J-017856,j-bench-frontiers-in-quantum-science-and-technology-4250,"Frontiers in Quantum Science and Technology",2813-2181,S4387279792,92
POSI-J-010354,j-bench-frontiers-in-radiology-4251,"Frontiers in Radiology",2673-8740,S4210231800,333
POSI-J-003337,j-bench-frontiers-in-rehabilitation-sciences-4252,"Frontiers in Rehabilitation Sciences",2673-6861,S4210195722,1200
POSI-J-006771,j-bench-frontiers-in-remote-sensing-4253,"Frontiers in Remote Sensing",2673-6187,S4210194326,569
POSI-J-004277,j-bench-frontiers-in-reproductive-health-4254,"Frontiers in Reproductive Health",2673-3153,S4210207188,928
POSI-J-007083,j-bench-frontiers-in-research-metrics-and-analytics-4255,"Frontiers in Research Metrics and Analytics",2504-0537,S2596295431,535
POSI-J-019863,j-bench-frontiers-in-rna-research-4256,"Frontiers in RNA Research",2813-7116,S4387289673,33
POSI-J-000167,j-bench-frontiers-in-robotics-and-ai-4257,"Frontiers in Robotics and AI",2296-9144,S2595095599,2486
POSI-J-015471,j-bench-frontiers-in-sensors-4258,"Frontiers in Sensors",2673-5067,S4210240236,144
POSI-J-013038,j-bench-frontiers-in-signal-processing-4259,"Frontiers in Signal Processing",2673-8198,S4210195221,216
POSI-J-000180,j-bench-frontiers-in-sleep-4260,"Frontiers in Sleep",2813-2890,S4387281408,251
POSI-J-020113,j-bench-frontiers-in-smart-grids-4261,"Frontiers in Smart Grids",2813-4311,S4387284016,24
POSI-J-000182,j-bench-frontiers-in-social-psychology-4262,"Frontiers in Social Psychology",2813-7876,S4387292148,118
POSI-J-000122,j-bench-frontiers-in-sociology-4263,"Frontiers in Sociology",2297-7775,S2596068225,2044
POSI-J-016773,j-bench-frontiers-in-soft-matter-4264,"Frontiers in Soft Matter",2813-0499,S4386622059,121
POSI-J-009789,j-bench-frontiers-in-soil-science-4265,"Frontiers in Soil Science",2673-8619,S4210190589,373
POSI-J-000183,j-bench-frontiers-in-space-technologies-4266,"Frontiers in Space Technologies",2673-5075,S4210237944,166
POSI-J-000175,j-bench-frontiers-in-sports-and-active-living-4267,"Frontiers in Sports and Active Living",2624-9367,S4210180255,3877
POSI-J-000177,j-bench-frontiers-in-stroke-4268,"Frontiers in Stroke",2813-3056,S4387281811,215
POSI-J-000169,j-bench-frontiers-in-surgery-4269,"Frontiers in Surgery",2296-875X,S2595365928,7173
POSI-J-004246,j-bench-frontiers-in-sustainability-4270,"Frontiers in Sustainability",2673-4524,S4210212205,953
POSI-J-003705,j-bench-frontiers-in-sustainable-cities-4271,"Frontiers in Sustainable Cities",2624-9634,S4210235149,1073
POSI-J-018967,j-bench-frontiers-in-sustainable-energy-policy-4272,"Frontiers in Sustainable Energy Policy",2813-4982,S4387285209,63
POSI-J-000174,j-bench-frontiers-in-sustainable-food-systems-4273,"Frontiers in Sustainable Food Systems",2571-581X,S4210212157,5829
POSI-J-018800,j-bench-frontiers-in-sustainable-resource-management-4274,"Frontiers in Sustainable Resource Management",2813-3005,S4387281628,67
POSI-J-016737,j-bench-frontiers-in-sustainable-tourism-4275,"Frontiers in Sustainable Tourism",2813-2815,S4387281059,130
POSI-J-000155,j-bench-frontiers-in-synaptic-neuroscience-4276,"Frontiers in Synaptic Neuroscience",1663-3563,S87761060,574
POSI-J-020085,j-bench-frontiers-in-synthetic-biology-4277,"Frontiers in Synthetic Biology",2813-818X,S4387292952,27
POSI-J-013656,j-bench-frontiers-in-systems-biology-4278,"Frontiers in Systems Biology",2674-0702,S4386621871,210
POSI-J-000107,j-bench-frontiers-in-systems-neuroscience-4279,"Frontiers in Systems Neuroscience",1662-5137,S97434221,2497
POSI-J-019798,j-bench-frontiers-in-the-internet-of-things-4280,"Frontiers in The Internet of Things",2813-3110,S4387282484,36
POSI-J-018670,j-bench-frontiers-in-thermal-engineering-4281,"Frontiers in Thermal Engineering",2813-0456,S4386622084,68
POSI-J-005194,j-bench-frontiers-in-toxicology-4282,"Frontiers in Toxicology",2673-3080,S4210231588,765
POSI-J-000181,j-bench-frontiers-in-transplantation-4283,"Frontiers in Transplantation",2813-2440,S4387280090,349
POSI-J-000156,j-bench-frontiers-in-tropical-diseases-4284,"Frontiers in Tropical Diseases",2673-7515,S4210213154,539
POSI-J-000184,j-bench-frontiers-in-tuberculosis-4285,"Frontiers in Tuberculosis",2813-7868,S4387292078,74
POSI-J-012035,j-bench-frontiers-in-urology-4286,"Frontiers in Urology",2673-9828,S4210224467,246
POSI-J-000187,j-bench-frontiers-in-virology-4287,"Frontiers in Virology",2673-818X,S4210220119,337
POSI-J-003980,j-bench-frontiers-in-virtual-reality-4288,"Frontiers in Virtual Reality",2673-4192,S4210228137,995
POSI-J-000168,j-bench-frontiers-in-water-4289,"Frontiers in Water",2624-9375,S4210177373,1264
