posi_id,legacy_id,title,issn_online,openalex_source_id,article_count,minted_or_reused
POSI-J-024271,j-bench-advances-in-water-resources-1090,"Advances in Water Resources",0309-1708,S145524021,5745,minted
POSI-J-017987,j-bench-advances-in-wind-engineering-1091,"Advances in Wind Engineering",2950-6018,S4404664319,93,reused
POSI-J-024272,j-bench-advancing-medical-surgical-nursing-1092,"Advancing Medical-Surgical Nursing",3050-8592,S5407047500,76,minted
POSI-J-024273,j-bench-aeolian-research-1093,"Aeolian Research",1875-9637,S105722520,861,minted
POSI-J-024274,j-bench-aerospace-science-and-technology-1094,"Aerospace Science and Technology",1270-9638,S61564791,11136,minted
POSI-J-024275,j-bench-aerospace-traffic-and-safety-1095,"Aerospace Traffic and Safety",2950-3388,S4404676329,38,minted
POSI-J-024276,j-bench-aeu-international-journal-of-electronics-and-communications-1096,"AEU - International Journal of Electronics and Communications",1434-8411,S141761900,6362,minted
POSI-J-003641,j-bench-african-journal-of-emergency-medicine-1097,"African Journal of Emergency Medicine",2211-419X,S2738564287,1048,reused
POSI-J-024277,j-bench-african-transport-studies-1098,"African Transport Studies",2950-1962,S4390573896,109,minted
POSI-J-024278,j-bench-ageing-research-reviews-1099,"Ageing Research Reviews",1568-1637,S117312820,2988,minted
POSI-J-024279,j-bench-aggression-and-violent-behavior-1100,"Aggression and Violent Behavior",1359-1789,S80014870,2009,minted
POSI-J-015015,j-bench-aging-brain-1101,"Aging Brain",2589-9589,S4210227707,160,reused
POSI-J-012370,j-bench-aging-and-health-research-1102,"Aging and Health Research",2667-0321,S4210236040,233,reused
POSI-J-024280,j-bench-agricultural-environment-and-sustainability-1103,"Agricultural Environment and Sustainability",3117-4094,S5407054244,23,minted
POSI-J-024281,j-bench-agricultural-and-forest-meteorology-1104,"Agricultural and Forest Meteorology",0168-1923,S17729819,9826,minted
POSI-J-024282,j-bench-agricultural-systems-1105,"Agricultural Systems",0308-521X,S157560195,5996,minted
POSI-J-000691,j-bench-agricultural-water-management-1106,"Agricultural Water Management",0378-3774,S104641133,10444,reused
POSI-J-017265,j-bench-agriculture-communications-1107,"Agriculture Communications",2949-7981,S4387289750,105,reused
POSI-J-024283,j-bench-agriculture-ecosystems-environment-1108,"Agriculture, Ecosystems & Environment",0167-8809,S185297315,11157,minted
POSI-J-000427,j-bench-ai-open-1109,"AI Open",2666-6510,S4210194376,126,reused
POSI-J-024284,j-bench-ai-thermal-fluids-1110,"AI Thermal Fluids",3050-5852,S5407047411,46,minted
POSI-J-001143,j-bench-ain-shams-engineering-journal-1111,"Ain Shams Engineering Journal",2090-4479,S2764993483,4022,reused
POSI-J-024285,j-bench-air-medical-journal-1112,"Air Medical Journal",1067-991X,S117141055,4042,minted
POSI-J-011075,j-bench-ajo-international-1113,"AJO International",2950-2535,S5407036997,296,reused
POSI-J-024286,j-bench-ajo-do-clinical-companion-1114,"AJO-DO Clinical Companion",2666-4305,S4210212587,425,minted
POSI-J-005748,j-bench-ajog-global-reports-1115,"AJOG Global Reports",2666-5778,S4210231035,664,reused
POSI-J-007368,j-bench-ajpm-focus-1116,"AJPM Focus",2773-0654,S4220651960,500,reused
POSI-J-024287,j-bench-alcohol-1117,"Alcohol",0741-8329,S143406092,4956,minted
POSI-J-000810,j-bench-alexandria-engineering-journal-1118,"Alexandria Engineering Journal",1110-0168,S2764413287,7227,reused
POSI-J-024288,j-bench-algal-research-1119,"Algal Research",2211-9264,S2502055758,4888,minted
POSI-J-001823,j-bench-allergology-international-1120,"Allergology International",1323-8930,S116585092,2249,reused
POSI-J-018690,j-bench-allergy-medicine-1121,"Allergy Medicine",2949-9135,S4404676861,69,reused
POSI-J-004806,j-bench-american-heart-journal-plus-cardiology-research-and-practice-1122,"American Heart Journal Plus: Cardiology Research and Practice",2666-6022,S4210207075,824,reused
POSI-J-024289,j-bench-the-american-journal-of-geriatric-psychiatry-1123,"The American Journal of Geriatric Psychiatry",1064-7481,S182891740,8863,minted
POSI-J-024290,j-bench-the-american-journal-of-geriatric-psychiatry-open-science-ed-1124,"The American Journal of Geriatric Psychiatry: Open Science, Education, and Practice",2950-3868,S5407037047,91,minted
POSI-J-024291,j-bench-the-american-journal-of-human-genetics-1125,"The American Journal of Human Genetics",0002-9297,S134425043,11168,minted
POSI-J-024292,j-bench-the-american-journal-of-the-medical-sciences-1126,"The American Journal of the Medical Sciences",0002-9629,S109361689,69805,minted
POSI-J-016145,j-bench-american-journal-of-medicine-open-1127,"American Journal of Medicine Open",2667-0364,S4210240233,131,reused
POSI-J-024293,j-bench-the-american-journal-of-medicine-supplements-1128,"The American Journal of Medicine Supplements",1548-2766,S4210189118,50,minted
POSI-J-024294,j-bench-american-journal-of-obstetrics-gynecology-mfm-1129,"American Journal of Obstetrics & Gynecology MFM",2589-9333,S4210238021,1953,minted
POSI-J-001586,j-bench-american-journal-of-ophthalmology-case-reports-1130,"American Journal of Ophthalmology Case Reports",2451-9936,S2765008417,2625,reused
POSI-J-000815,j-bench-american-journal-of-otolaryngology-1131,"American Journal of Otolaryngology",0196-0709,S204216521,7094,reused
POSI-J-024295,j-bench-the-american-journal-of-pathology-1132,"The American Journal of Pathology",0002-9440,S145577119,10699,minted
POSI-J-024296,j-bench-american-journal-of-pharmaceutical-education-1133,"American Journal of Pharmaceutical Education",0002-9459,S32993367,15412,minted
POSI-J-002652,j-bench-american-journal-of-preventive-cardiology-1134,"American Journal of Preventive Cardiology",2666-6677,S4210223033,1537,reused
POSI-J-024297,j-bench-american-journal-of-preventive-medicine-1135,"American Journal of Preventive Medicine",0749-3797,S195759676,10205,minted
POSI-J-011196,j-bench-ampersand-1136,"Ampersand",2215-0390,S2898414600,276,reused
POSI-J-024298,j-bench-anaerobe-1137,"Anaerobe",1075-9964,S187465954,2956,minted
POSI-J-024299,j-bench-anaesthesia-critical-care-pain-medicine-1138,"Anaesthesia Critical Care & Pain Medicine",2352-5568,S2765057226,1911,minted
POSI-J-024300,j-bench-anaesthesia-intensive-care-medicine-1139,"Anaesthesia & Intensive Care Medicine",1472-0299,S148355361,3795,minted
POSI-J-000913,j-bench-anais-brasileiros-de-dermatologia-1140,"Anais Brasileiros de Dermatologia",0365-0596,S21531352,5661,reused
POSI-J-024301,j-bench-anales-de-cirug-a-vascular-1141,"Anales de Cirugía Vascular",1130-2542,S2898542147,322,minted
POSI-J-000704,j-bench-anales-de-pediatr-a-1142,"Anales de Pediatría",1695-4033,S136590224,10045,reused
POSI-J-024302,j-bench-anales-de-pediatria-continuada-1143,"Anales de Pediatria Continuada",1696-2818,S2898237549,1149,minted
POSI-J-002024,j-bench-anales-de-pediatr-a-english-edition-1144,"Anales de Pediatría (English Edition)",2341-2879,S4210226928,1997,reused
POSI-J-024303,j-bench-analytic-methods-in-accident-research-1145,"Analytic Methods in Accident Research",2213-6657,S2898450762,311,minted
POSI-J-024304,j-bench-analytica-chimica-acta-x-1146,"Analytica Chimica Acta: X",2590-1346,S4210227738,47,minted
POSI-J-024305,j-bench-anesth-sie-r-animation-1147,"Anesthésie & Réanimation",2352-5800,S2898562440,1732,minted
POSI-J-024306,j-bench-anesthesiology-clinics-1148,"Anesthesiology Clinics",1932-2275,S53519342,1562,minted
POSI-J-024307,j-bench-anesthesiology-and-medicine-1149,"Anesthesiology and Medicine",3117-8820,S7407063392,1,minted
POSI-J-000892,j-bench-animal-1150,"Animal",1751-7311,S66388299,5905,reused
POSI-J-024308,j-bench-animal-feed-science-and-technology-1151,"Animal Feed Science and Technology",0377-8401,S171407314,8944,minted
POSI-J-024309,j-bench-animal-nutrition-1152,"Animal Nutrition",2405-6545,S2764806997,1322,minted
POSI-J-024310,j-bench-animal-open-space-1153,"Animal - Open Space",2772-6940,S4210194956,145,minted
POSI-J-024311,j-bench-animal-reproduction-science-1154,"Animal Reproduction Science",0378-4320,S162627789,8175,minted
POSI-J-024312,j-bench-animal-science-proceedings-1155,"Animal - Science Proceedings",2772-283X,S4386621765,4210,minted
POSI-J-024313,j-bench-animals-and-zoonoses-1156,"Animals and Zoonoses",2950-2489,S4404674811,106,minted
POSI-J-024314,j-bench-annales-de-cardiologie-et-d-ang-iologie-1157,"Annales de Cardiologie et d'Angéiologie",0003-3928,S132801490,2862,minted
POSI-J-024315,j-bench-annales-de-chirurgie-plastique-esth-tique-1158,"Annales de Chirurgie Plastique Esthétique",0294-1260,S103236859,2444,minted
POSI-J-024316,j-bench-annales-de-dermatologie-et-de-v-n-r-ologie-fmc-1159,"Annales de Dermatologie et de Vénéréologie - FMC",2667-0623,S4210216760,3889,minted
POSI-J-024317,j-bench-annales-de-dermatologie-et-de-v-n-r-ologie-1160,"Annales de Dermatologie et de Vénéréologie",0151-9638,S41786655,13938,minted
POSI-J-024318,j-bench-annales-d-endocrinologie-1161,"Annales d'Endocrinologie",0003-4266,S84414767,13522,minted
POSI-J-024319,j-bench-annales-fran-aises-d-oto-rhino-laryngologie-et-de-pathologie-1162,"Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale",1879-7261,S2898300460,3069,minted
POSI-J-024320,j-bench-annales-m-dico-psychologiques-revue-psychiatrique-1163,"Annales Médico-psychologiques, revue psychiatrique",0003-4487,S182325219,5214,minted
POSI-J-024321,j-bench-annales-de-pal-ontologie-1164,"Annales de Paléontologie",0753-3969,S159429175,693,minted
POSI-J-024322,j-bench-annales-de-pathologie-1165,"Annales de Pathologie",0242-6498,S188519406,3637,minted
POSI-J-024323,j-bench-annales-pharmaceutiques-fran-aises-1166,"Annales Pharmaceutiques Françaises",0003-4509,S193932567,1876,minted
POSI-J-012927,j-bench-annals-of-3d-printed-medicine-1167,"Annals of 3D Printed Medicine",2666-9641,S4210213092,214,reused
POSI-J-006782,j-bench-annals-of-agricultural-sciences-1168,"Annals of Agricultural Sciences",0570-1783,S2764619822,1061,reused
POSI-J-024324,j-bench-annals-of-allergy-asthma-immunology-1169,"Annals of Allergy, Asthma & Immunology",1081-1206,S153558830,14479,minted
POSI-J-024325,j-bench-annals-of-anatomy-anatomischer-anzeiger-1170,"Annals of Anatomy - Anatomischer Anzeiger",0940-9602,S9336330,4609,minted
POSI-J-024326,j-bench-annals-of-diagnostic-pathology-1171,"Annals of Diagnostic Pathology",1092-9134,S133584415,3018,minted
POSI-J-024327,j-bench-annals-of-emergency-medicine-1172,"Annals of Emergency Medicine",0196-0644,S116012647,35063,minted
POSI-J-001197,j-bench-annals-of-hepatology-1173,"Annals of Hepatology",1665-2681,S32516778,3712,reused
POSI-J-024328,j-bench-annals-of-medicine-and-surgery-1174,"Annals of Medicine and Surgery",2049-0801,S4210226177,9959,minted
POSI-J-024329,j-bench-annals-of-nuclear-energy-1175,"Annals of Nuclear Energy",0306-4549,S197743716,14134,minted
POSI-J-024330,j-bench-annals-of-physical-and-rehabilitation-medicine-1176,"Annals of Physical and Rehabilitation Medicine",1877-0657,S47506589,8210,minted
POSI-J-024331,j-bench-annals-of-physics-1177,"Annals of Physics",0003-4916,S173877794,13401,minted
POSI-J-024332,j-bench-annals-of-pure-and-applied-logic-1178,"Annals of Pure and Applied Logic",0168-0072,S172477885,3406,minted
POSI-J-003794,j-bench-annals-of-thoracic-surgery-short-reports-1179,"Annals of Thoracic Surgery Short Reports",2772-9931,S4220651533,1053,reused
POSI-J-012726,j-bench-annals-of-tourism-research-empirical-insights-1180,"Annals of Tourism Research Empirical Insights",2666-9579,S4210171974,223,reused
POSI-J-024333,j-bench-annals-of-vascular-surgery-1181,"Annals of Vascular Surgery",0890-5096,S124584150,13520,minted
POSI-J-007766,j-bench-annals-of-vascular-surgery-brief-reports-and-innovations-1182,"Annals of Vascular Surgery - Brief Reports and Innovations",2772-6878,S4210222503,468,reused
POSI-J-024334,j-bench-annual-reviews-in-control-1183,"Annual Reviews in Control",1367-5788,S54761077,1092,minted
POSI-J-024335,j-bench-anthropocene-1184,"Anthropocene",2213-3054,S2898452301,598,minted
POSI-J-024336,j-bench-l-anthropologie-1185,"L'Anthropologie",0003-5521,S2898112208,1554,minted
POSI-J-024337,j-bench-antiviral-research-1186,"Antiviral Research",0166-3542,S137372404,9309,minted
POSI-J-024338,j-bench-appetite-1187,"Appetite",0195-6663,S126804734,12725,minted
POSI-J-024339,j-bench-appetite-disordered-eating-1188,"Appetite: Disordered Eating",3117-3950,S7407058267,5,minted
POSI-J-007066,j-bench-applications-in-energy-and-combustion-science-1189,"Applications in Energy and Combustion Science",2666-352X,S4210188498,533,reused
POSI-J-010107,j-bench-applications-in-engineering-science-1190,"Applications in Engineering Science",2666-4968,S4210184611,327,reused
POSI-J-024340,j-bench-applied-acoustics-1191,"Applied Acoustics",0003-682X,S971171794,10176,minted
POSI-J-024341,j-bench-applied-animal-behaviour-science-1192,"Applied Animal Behaviour Science",0168-1591,S179500637,7658,minted
POSI-J-024342,j-bench-applied-animal-science-1193,"Applied Animal Science",2590-2865,S4210220527,684,minted
POSI-J-024343,j-bench-applied-biomolecules-bioactive-materials-1194,"Applied Biomolecules: Bioactive Materials",3117-5031,,0,minted
POSI-J-024344,j-bench-applied-catalysis-a-general-1195,"Applied Catalysis A: General",0926-860X,S84179801,19134,minted
POSI-J-024345,j-bench-applied-catalysis-b-environmental-1196,"Applied Catalysis B: Environmental",0926-3373,S134307298,19960,minted
POSI-J-014075,j-bench-applied-catalysis-o-open-1197,"Applied Catalysis O: Open",2950-6484,S4394906757,185,reused
POSI-J-024346,j-bench-applied-clay-science-1198,"Applied Clay Science",0169-1317,S37411791,8115,minted
POSI-J-024347,j-bench-applied-and-computational-harmonic-analysis-1199,"Applied and Computational Harmonic Analysis",1063-5203,S71199174,1839,minted
POSI-J-009957,j-bench-applied-computing-and-geosciences-1200,"Applied Computing and Geosciences",2590-1974,S4210236406,351,reused
POSI-J-024348,j-bench-applied-corpus-linguistics-1201,"Applied Corpus Linguistics",2666-7991,S4210178141,239,minted
POSI-J-001792,j-bench-applied-food-research-1202,"Applied Food Research",2772-5022,S4210228229,2471,reused
POSI-J-024349,j-bench-applied-geochemistry-1203,"Applied Geochemistry",0883-2927,S105929320,7299,minted
POSI-J-024350,j-bench-applied-geography-1204,"Applied Geography",0143-6228,S115443327,4537,minted
POSI-J-024351,j-bench-applied-materials-today-1205,"Applied Materials Today",2352-9407,S2764609219,3317,minted
POSI-J-024352,j-bench-applied-mathematical-modelling-1206,"Applied Mathematical Modelling",0307-904X,S153281200,13350,minted
POSI-J-024353,j-bench-applied-mathematics-letters-1207,"Applied Mathematics Letters",0893-9659,S7571225,9524,minted
POSI-J-024354,j-bench-applied-numerical-mathematics-1208,"Applied Numerical Mathematics",0168-9274,S24251679,5606,minted
POSI-J-024355,j-bench-applied-nursing-research-1209,"Applied Nursing Research",0897-1897,S144851420,2631,minted
POSI-J-000976,j-bench-applied-ocean-research-1210,"Applied Ocean Research",0141-1187,S19503097,5181,reused
POSI-J-024356,j-bench-applied-radiation-and-isotopes-1211,"Applied Radiation and Isotopes",0969-8043,S185347286,12922,minted
POSI-J-024357,j-bench-applied-soft-computing-1212,"Applied Soft Computing",1568-4946,S140556538,14610,minted
POSI-J-024358,j-bench-applied-soil-ecology-1213,"Applied Soil Ecology",0929-1393,S148244296,7082,minted
POSI-J-024359,j-bench-applied-studies-in-innovative-learning-and-teaching-1214,"Applied Studies in Innovative Learning and Teaching",3051-3243,S5407055985,7,minted
POSI-J-003998,j-bench-applied-surface-science-advances-1215,"Applied Surface Science Advances",2666-5239,S4210213426,969,reused
POSI-J-024360,j-bench-apunts-sports-medicine-1216,"Apunts Sports Medicine",2666-5069,S150651834,797,minted
POSI-J-024361,j-bench-aquacultural-engineering-1217,"Aquacultural Engineering",0144-8609,S42973710,2212,minted
POSI-J-024362,j-bench-aquaculture-and-fisheries-1218,"Aquaculture and Fisheries",2468-550X,S2898609844,751,minted
POSI-J-001199,j-bench-aquaculture-reports-1219,"Aquaculture Reports",2352-5134,S2764883586,3782,reused
POSI-J-024363,j-bench-aquatic-botany-1220,"Aquatic Botany",0304-3770,S61969038,4796,minted
POSI-J-024364,j-bench-aquatic-diversity-and-ecology-1221,"Aquatic Diversity and Ecology",3117-8634,S7407057725,12,minted
POSI-J-024365,j-bench-aquatic-toxicology-1222,"Aquatic Toxicology",0166-445X,S183233548,8045,minted
POSI-J-024366,j-bench-arab-journal-of-gastroenterology-1223,"Arab Journal of Gastroenterology",1687-1979,S106979931,1192,minted
POSI-J-024367,j-bench-arabian-journal-of-chemistry-1224,"Arabian Journal of Chemistry",1878-5352,S2357026,6188,minted
POSI-J-024368,j-bench-archaeological-research-in-asia-1225,"Archaeological Research in Asia",2352-2267,S2898610133,557,minted
POSI-J-024369,j-bench-archives-of-cancer-and-medically-complex-rehabilitation-1226,"Archives of Cancer and Medically Complex Rehabilitation",3117-8685,S7407063161,1,minted
POSI-J-024370,j-bench-archives-of-cardiovascular-diseases-1227,"Archives of Cardiovascular Diseases",1875-2136,S174489444,3994,minted
POSI-J-024371,j-bench-archives-of-cardiovascular-diseases-supplements-1228,"Archives of Cardiovascular Diseases Supplements",1878-6480,S147586446,7238,minted
